axial_bin_id,angle_bin_id,axial_bin,angle_bin_deg,peak_inward_depth,mean_inward_depth,min_deviation,point_count
53,0,5.8431272581187965,-177.992985303944,0.020994562516306048,0.02072918540394654,-0.020994562516306048,9
52,0,5.601516473562949,-177.98924077609374,0.02064786703480137,0.020314087756148513,-0.02064786703480137,9
51,0,5.359905995048389,-177.98548575388497,0.02020016739825714,0.01980198643182825,-0.02020016739825714,9
50,0,5.1585633546526095,-177.98237611987216,0.01965446419895156,0.01930670200887591,-0.01965446419895156,6
49,0,4.957220696520228,-177.97926457869102,0.01923932659761929,0.0187484542581514,-0.01923932659761929,9
48,0,4.715609487854147,-177.97553516791774,0.01854661700238025,0.018011582079140345,-0.01854661700238025,9
47,0,4.473999261394744,-177.97181524521227,0.017780903295956052,0.01721175800002872,-0.017780903295956052,9
46,0,4.272656562429263,-177.96872000104653,0.01695518607320723,0.016508981940937213,-0.01695518607320723,6
45,0,4.071313856778155,-177.96563219487493,0.016381039148362975,0.015782631635077007,-0.016381039148362975,9
44,0,3.829702606563425,-177.96193862539894,0.015496315604164534,0.0148990693618528,-0.015496315604164534,9
43,0,3.6283608996814087,-177.95885035360462,0.014606587985256714,0.014168424990390524,-0.014606587985256714,6
42,0,3.42701820041062,-177.95577218780466,0.01402443433135614,0.013465047959403953,-0.01402443433135614,9
41,0,3.185406983021433,-177.95208260751406,0.013196700690690122,0.012698386584957786,-0.013196700690690122,9
40,0,2.9437958183730526,-177.9483885235252,0.0124909632266329,0.012119377427774025,-0.0124909632266329,9
39,0,2.7424537606773742,-177.94530418342558,0.012058221845186567,0.011919897754237093,-0.012058221845186567,6
38,0,2.541111857271197,-177.94218002616506,0.012635475064885715,0.01226935017753287,-0.012635475064885715,9
37,0,2.299501298729629,-177.9383667137585,0.015214427822799359,0.013847553685056845,-0.015214427822799359,9
36,0,2.0981595668328326,-177.93507410211933,0.01830466379464546,0.016587042643814626,-0.01830466379464546,6
35,0,1.8968186823222222,-177.93164066318707,0.02540159916104434,0.021156390313671954,-0.02540159916104434,9
34,0,1.6552104941914294,-177.9273125708147,0.03510781086632386,0.02879866510861822,-0.03510781086632386,9
33,0,1.4136020250711667,-177.92282152118003,0.04568016653648932,0.03781360465857386,-0.04568016653648932,9
32,0,1.2122615018311884,-177.91903103069032,0.05177872415183504,0.044854075808592686,-0.05177872415183504,6
31,0,1.0109203407625629,-177.91540568697818,0.05726573905690291,0.049623508422592916,-0.05726573905690291,9
30,0,0.7693107449057698,-177.9114043794383,0.05780790206274444,0.05106458227456048,-0.05780790206274444,9
29,0,0.5276987491672777,-177.90787176456965,0.055371526064230014,0.04752092934104904,-0.055371526064230014,9
28,0,0.3263546730151711,-177.90522972484382,0.048103457224310975,0.04191037802132883,-0.048103457224310975,6
27,0,0.1250103407666,-177.9026821430012,0.041963185121533964,0.03538706748805488,-0.041963185121533964,9
26,0,-0.11660161940661001,-177.8996025413772,0.03305407821621675,0.028408086526301113,-0.03305407821621675,9
25,0,-0.31794530419607664,-177.89689315704757,0.026331326187377102,0.024189163760816607,-0.026331326187377102,6
24,0,-0.5192884744476022,-177.89400970449014,0.02345302239028524,0.0218017542728578,-0.02345302239028524,9
23,0,-0.760899768463771,-177.8903695965043,0.021297340361876138,0.020753372596564526,-0.021297340361876138,9
22,0,-1.0025096807924312,-177.88658070841186,0.02139882645621527,0.0210636398416463,-0.02139882645621527,9
21,0,-1.2038519537049026,-177.88336198215632,0.02207260556487467,0.021870583238563463,-0.02207260556487467,6
20,0,-1.405194160032515,-177.88010038100816,0.02341879154358817,0.02291444984331333,-0.02341879154358817,9
19,0,-1.6468047879012424,-177.8761661753085,0.024783973209815846,0.024237411851737604,-0.024783973209815846,9
18,0,-1.8481464856577594,-177.87287767887463,0.025654758415133205,0.02531198246118836,-0.025654758415133205,6
17,0,-2.049488206433945,-177.86960726426528,0.026854933373367196,0.026305139467575313,-0.026854933373367196,9
16,0,-2.2910989092952927,-177.86568745002603,0.02789310452548266,0.027362278596653928,-0.02789310452548266,9
15,0,-2.5327096634181667,-177.86177735786953,0.028738272026139655,0.028237446510156212,-0.028738272026139655,9
14,0,-2.7340515016145424,-177.8585503810822,0.029182048119208548,0.028814124432373505,-0.029182048119208548,6
13,0,-2.9353933866908144,-177.85532995866046,0.029654209885381144,0.029224291253303083,-0.029654209885381144,9
12,0,-3.1770043088709534,-177.85149535459064,0.029878368431039082,0.02950340646103243,-0.029878368431039082,9
11,0,-3.418615301302355,-177.84770518082902,0.029896753922193153,0.029533500159739483,-0.029896753922193153,9
10,0,-3.6199578477563605,-177.84457203244895,0.029778908403683135,0.029371422888526084,-0.029778908403683135,6
9,0,-3.8212994468261283,-177.84147428901295,0.02955667615507296,0.02902282641892167,-0.02955667615507296,9
8,0,-4.0629106270563256,-177.83779821495625,0.02901182588368345,0.028387033669009694,-0.02901182588368345,9
7,0,-4.264253326064291,-177.83476908514118,0.02822297289312059,0.027684138307369155,-0.02822297289312059,6
6,0,-4.46559607025454,-177.8317663178608,0.02757073608316285,0.02682097238952974,-0.02757073608316285,9
5,0,-4.7072064120060935,-177.82820329590888,0.02641687838787654,0.02561249069439517,-0.02641687838787654,9
4,0,-4.948817800726452,-177.82467160471563,0.025081018333307115,0.02423739463662553,-0.025081018333307115,9
3,0,-5.1501606531816755,-177.82176197419395,0.023593155596722926,0.022990513258356254,-0.023593155596722926,6
2,0,-5.35150352678099,-177.81887189018718,0.02253691223162846,0.02166866929151106,-0.02253691223162846,9
1,0,-5.593114324567099,-177.8154250466246,0.020884044789064582,0.0200253080300936,-0.020884044789064582,9
0,0,-5.834725462796546,-177.8119954127672,0.019188174030820848,0.018356812101380477,-0.019188174030820848,9
53,1,5.8431504683355655,-173.00528370191935,0.02023136489487054,0.019757858750937995,-0.02023136489487054,6
52,1,5.601539644663365,-173.00119587123262,0.019704597545060265,0.019139664219009162,-0.019704597545060265,6
51,1,5.359929134154137,-172.99712619453032,0.01909046552285587,0.018443580325011238,-0.01909046552285587,6
50,1,5.158586473531663,-172.99372650722054,0.018398810012098532,0.017813021230661447,-0.018398810012098532,4
49,1,4.957243802257165,-172.99033539118895,0.017900121821550097,0.01714134084654097,-0.017900121821550097,6
48,1,4.715632587135523,-172.98626520555618,0.017104872676196647,0.01629813955221952,-0.017104872676196647,6
47,1,4.474022364926509,-172.98221754264765,0.01626544158899279,0.015427948603344954,-0.01626544158899279,6
46,1,4.2726796777497436,-172.97883582122157,0.015399834801554269,0.014694904945925291,-0.015399834801554269,4
45,1,4.071336992015797,-172.97546661710453,0.014817648647976855,0.013967778582227494,-0.014817648647976855,6
44,1,3.8297257750024087,-172.97142491233774,0.013949050523317741,0.013118098459756514,-0.013949050523317741,6
43,1,3.6283841030091124,-172.9680765753073,0.013109602157373335,0.012444853903377212,-0.013109602157373335,4
42,1,3.4270414459117333,-172.96471152932813,0.012579750102745035,0.011829184046900384,-0.012579750102745035,6
41,1,3.185430288493435,-172.96068748890994,0.011865968180807429,0.011211516097582622,-0.011865968180807429,6
40,1,2.943819199533865,-172.95665363968865,0.01133914822091353,0.010859733824721551,-0.01133914822091353,6
39,1,2.7424772256174004,-172.9532808842719,0.011335275692698543,0.010955927123772524,-0.011335275692698543,4
38,1,2.541135446255486,-172.9498519090247,0.012504703544437223,0.011807431165791082,-0.012504703544437223,6
37,1,2.2995251225337854,-172.9456565644871,0.015884359181564167,0.01442776790597237,-0.015884359181564167,6
